place of birth,age group,gender,year,province of residence,concept,value
county of residence,total,male,2001,total,population,822813
county of residence,total,male,2001,A Coruña,population,312530
county of residence,total,male,2001,Lugo,population,120034
county of residence,total,male,2001,Ourense,population,98290
county of residence,total,male,2001,Pontevedra,population,291959
county of residence,total,male,2011,total,population,770929
county of residence,total,male,2011,A Coruña,population,292759
county of residence,total,male,2011,Lugo,population,106782
county of residence,total,male,2011,Ourense,population,86316
county of residence,total,male,2011,Pontevedra,population,285072
county of residence,total,female,2001,total,population,872542
county of residence,total,female,2001,A Coruña,population,330206
county of residence,total,female,2001,Lugo,population,119485
county of residence,total,female,2001,Ourense,population,104681
county of residence,total,female,2001,Pontevedra,population,318170
county of residence,total,female,2011,total,population,808803
county of residence,total,female,2011,A Coruña,population,308072
county of residence,total,female,2011,Lugo,population,105583
county of residence,total,female,2011,Ourense,population,89840
county of residence,total,female,2011,Pontevedra,population,305308
county of residence,0-4,total,2001,total,population,76971
county of residence,0-4,total,2001,A Coruña,population,29388
county of residence,0-4,total,2001,Lugo,population,8643
county of residence,0-4,total,2001,Ourense,population,7339
county of residence,0-4,total,2001,Pontevedra,population,31601
county of residence,0-4,total,2011,total,population,92261
county of residence,0-4,total,2011,A Coruña,population,37386
county of residence,0-4,total,2011,Lugo,population,9709
county of residence,0-4,total,2011,Ourense,population,8312
county of residence,0-4,total,2011,Pontevedra,population,36854
county of residence,0-4,male,2001,total,population,39610
county of residence,0-4,male,2001,A Coruña,population,15105
county of residence,0-4,male,2001,Lugo,population,4425
county of residence,0-4,male,2001,Ourense,population,3792
county of residence,0-4,male,2001,Pontevedra,population,16288
county of residence,0-4,male,2011,total,population,47862
county of residence,0-4,male,2011,A Coruña,population,19268
county of residence,0-4,male,2011,Lugo,population,4960
county of residence,0-4,male,2011,Ourense,population,4340
county of residence,0-4,male,2011,Pontevedra,population,19294
county of residence,0-4,female,2001,total,population,37361
county of residence,0-4,female,2001,A Coruña,population,14283
county of residence,0-4,female,2001,Lugo,population,4218
county of residence,0-4,female,2001,Ourense,population,3547
county of residence,0-4,female,2001,Pontevedra,population,15313
county of residence,0-4,female,2011,total,population,44399
county of residence,0-4,female,2011,A Coruña,population,18118
county of residence,0-4,female,2011,Lugo,population,4750
county of residence,0-4,female,2011,Ourense,population,3972
county of residence,0-4,female,2011,Pontevedra,population,17560
county of residence,5-9,total,2001,total,population,77607
county of residence,5-9,total,2001,A Coruña,population,28972
county of residence,5-9,total,2001,Lugo,population,9552
county of residence,5-9,total,2001,Ourense,population,8039
county of residence,5-9,total,2001,Pontevedra,population,31044
county of residence,5-9,total,2011,total,population,80896
county of residence,5-9,total,2011,A Coruña,population,31486
county of residence,5-9,total,2011,Lugo,population,8466
county of residence,5-9,total,2011,Ourense,population,7367
county of residence,5-9,total,2011,Pontevedra,population,33576
county of residence,5-9,male,2001,total,population,39882
county of residence,5-9,male,2001,A Coruña,population,14837
county of residence,5-9,male,2001,Lugo,population,4831
county of residence,5-9,male,2001,Ourense,population,4151
county of residence,5-9,male,2001,Pontevedra,population,16063
county of residence,5-9,male,2011,total,population,41885
county of residence,5-9,male,2011,A Coruña,population,16228
county of residence,5-9,male,2011,Lugo,population,4392
county of residence,5-9,male,2011,Ourense,population,3784
county of residence,5-9,male,2011,Pontevedra,population,17481
county of residence,5-9,female,2001,total,population,37725
county of residence,5-9,female,2001,A Coruña,population,14135
county of residence,5-9,female,2001,Lugo,population,4721
county of residence,5-9,female,2001,Ourense,population,3888
county of residence,5-9,female,2001,Pontevedra,population,14981
county of residence,5-9,female,2011,total,population,39011
county of residence,5-9,female,2011,A Coruña,population,15258
county of residence,5-9,female,2011,Lugo,population,4075
county of residence,5-9,female,2011,Ourense,population,3583
county of residence,5-9,female,2011,Pontevedra,population,16095
county of residence,10-14,total,2001,total,population,92266
county of residence,10-14,total,2001,A Coruña,population,35037
county of residence,10-14,total,2001,Lugo,population,11945
county of residence,10-14,total,2001,Ourense,population,9239
county of residence,10-14,total,2001,Pontevedra,population,36045
county of residence,10-14,total,2011,total,population,72245
county of residence,10-14,total,2011,A Coruña,population,27788
county of residence,10-14,total,2011,Lugo,population,8188
county of residence,10-14,total,2011,Ourense,population,6667
county of residence,10-14,total,2011,Pontevedra,population,29602
county of residence,10-14,male,2001,total,population,47384
county of residence,10-14,male,2001,A Coruña,population,18051
county of residence,10-14,male,2001,Lugo,population,6099
county of residence,10-14,male,2001,Ourense,population,4712
county of residence,10-14,male,2001,Pontevedra,population,18522
county of residence,10-14,male,2011,total,population,37324
county of residence,10-14,male,2011,A Coruña,population,14343
county of residence,10-14,male,2011,Lugo,population,4195
county of residence,10-14,male,2011,Ourense,population,3415
county of residence,10-14,male,2011,Pontevedra,population,15371
county of residence,10-14,female,2001,total,population,44882
county of residence,10-14,female,2001,A Coruña,population,16986
county of residence,10-14,female,2001,Lugo,population,5846
county of residence,10-14,female,2001,Ourense,population,4527
county of residence,10-14,female,2001,Pontevedra,population,17523
county of residence,10-14,female,2011,total,population,34921
county of residence,10-14,female,2011,A Coruña,population,13445
county of residence,10-14,female,2011,Lugo,population,3993
county of residence,10-14,female,2011,Ourense,population,3252
county of residence,10-14,female,2011,Pontevedra,population,14231
county of residence,15-19,total,2001,total,population,117043
county of residence,15-19,total,2001,A Coruña,population,45957
county of residence,15-19,total,2001,Lugo,population,14810
county of residence,15-19,total,2001,Ourense,population,11697
county of residence,15-19,total,2001,Pontevedra,population,44579
county of residence,15-19,total,2011,total,population,74576
county of residence,15-19,total,2011,A Coruña,population,27779
county of residence,15-19,total,2011,Lugo,population,9176
county of residence,15-19,total,2011,Ourense,population,7596
county of residence,15-19,total,2011,Pontevedra,population,30025
county of residence,15-19,male,2001,total,population,60048
county of residence,15-19,male,2001,A Coruña,population,23632
county of residence,15-19,male,2001,Lugo,population,7514
county of residence,15-19,male,2001,Ourense,population,6072
county of residence,15-19,male,2001,Pontevedra,population,22830
county of residence,15-19,male,2011,total,population,38397
county of residence,15-19,male,2011,A Coruña,population,14188
county of residence,15-19,male,2011,Lugo,population,4673
county of residence,15-19,male,2011,Ourense,population,3953
county of residence,15-19,male,2011,Pontevedra,population,15583
county of residence,15-19,female,2001,total,population,56995
county of residence,15-19,female,2001,A Coruña,population,22325
county of residence,15-19,female,2001,Lugo,population,7296
county of residence,15-19,female,2001,Ourense,population,5625
county of residence,15-19,female,2001,Pontevedra,population,21749
county of residence,15-19,female,2011,total,population,36179
county of residence,15-19,female,2011,A Coruña,population,13591
county of residence,15-19,female,2011,Lugo,population,4503
county of residence,15-19,female,2011,Ourense,population,3642
county of residence,15-19,female,2011,Pontevedra,population,14442
county of residence,20-24,total,2001,total,population,148915
county of residence,20-24,total,2001,A Coruña,population,59411
county of residence,20-24,total,2001,Lugo,population,17347
county of residence,20-24,total,2001,Ourense,population,14033
county of residence,20-24,total,2001,Pontevedra,population,58124
county of residence,20-24,total,2011,total,population,86449
county of residence,20-24,total,2011,A Coruña,population,32674
county of residence,20-24,total,2011,Lugo,population,11229
county of residence,20-24,total,2011,Ourense,population,8426
county of residence,20-24,total,2011,Pontevedra,population,34120
county of residence,20-24,male,2001,total,population,76715
county of residence,20-24,male,2001,A Coruña,population,30742
county of residence,20-24,male,2001,Lugo,population,8991
county of residence,20-24,male,2001,Ourense,population,7353
county of residence,20-24,male,2001,Pontevedra,population,29629
county of residence,20-24,male,2011,total,population,44705
county of residence,20-24,male,2011,A Coruña,population,16953
county of residence,20-24,male,2011,Lugo,population,5820
county of residence,20-24,male,2011,Ourense,population,4322
county of residence,20-24,male,2011,Pontevedra,population,17610
county of residence,20-24,female,2001,total,population,72200
county of residence,20-24,female,2001,A Coruña,population,28669
county of residence,20-24,female,2001,Lugo,population,8356
county of residence,20-24,female,2001,Ourense,population,6680
county of residence,20-24,female,2001,Pontevedra,population,28495
county of residence,20-24,female,2011,total,population,41744
county of residence,20-24,female,2011,A Coruña,population,15720
county of residence,20-24,female,2011,Lugo,population,5409
county of residence,20-24,female,2011,Ourense,population,4103
county of residence,20-24,female,2011,Pontevedra,population,16511
county of residence,25-29,total,2001,total,population,137504
county of residence,25-29,total,2001,A Coruña,population,54823
county of residence,25-29,total,2001,Lugo,population,15566
county of residence,25-29,total,2001,Ourense,population,12656
county of residence,25-29,total,2001,Pontevedra,population,54459
county of residence,25-29,total,2011,total,population,98694
county of residence,25-29,total,2011,A Coruña,population,38509
county of residence,25-29,total,2011,Lugo,population,12570
county of residence,25-29,total,2011,Ourense,population,9419
county of residence,25-29,total,2011,Pontevedra,population,38196
county of residence,25-29,male,2001,total,population,70887
county of residence,25-29,male,2001,A Coruña,population,28413
county of residence,25-29,male,2001,Lugo,population,8046
county of residence,25-29,male,2001,Ourense,population,6557
county of residence,25-29,male,2001,Pontevedra,population,27871
county of residence,25-29,male,2011,total,population,51627
county of residence,25-29,male,2011,A Coruña,population,20103
county of residence,25-29,male,2011,Lugo,population,6553
county of residence,25-29,male,2011,Ourense,population,5004
county of residence,25-29,male,2011,Pontevedra,population,19967
county of residence,25-29,female,2001,total,population,66617
county of residence,25-29,female,2001,A Coruña,population,26410
county of residence,25-29,female,2001,Lugo,population,7520
county of residence,25-29,female,2001,Ourense,population,6099
county of residence,25-29,female,2001,Pontevedra,population,26588
county of residence,25-29,female,2011,total,population,47068
county of residence,25-29,female,2011,A Coruña,population,18405
county of residence,25-29,female,2011,Lugo,population,6018
county of residence,25-29,female,2011,Ourense,population,4415
county of residence,25-29,female,2011,Pontevedra,population,18229
county of residence,30-34,total,2001,total,population,114435
county of residence,30-34,total,2001,A Coruña,population,44003
county of residence,30-34,total,2001,Lugo,population,14094
county of residence,30-34,total,2001,Ourense,population,11169
county of residence,30-34,total,2001,Pontevedra,population,45169
county of residence,30-34,total,2011,total,population,115228
county of residence,30-34,total,2011,A Coruña,population,44879
county of residence,30-34,total,2011,Lugo,population,13376
county of residence,30-34,total,2011,Ourense,population,10201
county of residence,30-34,total,2011,Pontevedra,population,46772
county of residence,30-34,male,2001,total,population,58979
